@type	@id	@lat	@lon	name	addr:city
node	697474337	49.9465675	17.8886850	Restaurace U Náhonu	Opava
node	697501282	49.9174541	17.9193360	CA Radost	
node	703198222	-30.7425740	30.4562614	Pick n Pay	Port Shepstone
node	704007489	50.0709626	14.4151220	V Podskalí	Praha
node	704191176	51.4864096	-0.2520309	George and Devonshire	London
node	705482554	-34.1148751	18.8295005	Pick n Pay	Cape Town
node	705633239	48.3626723	10.9028333	Annapam	Augsburg
node	716849468	50.5353620	14.1302047	Budvarka	
node	725134545	50.6188841	15.6089460	Na Špeku	Vrchlabí
node	725593335	48.4023555	11.7508044	Ariston	Freising
node	732714978	49.9342449	6.6316839	Tankstelle Wolter	Speicher
node	739690847	41.3533630	13.4310364	Distributore carburanti IP - di Biasio Domenico	Fondi
node	740239500	49.0744974	-121.9751450	Huis Shave Ice	Cultus Lake
node	740239576	49.0745039	-121.9750410	Maar's Burger Bar	Cultus Lake
node	747973186	49.3795371	11.0299380	Rednitz-Apotheke	Nürnberg
node	762937571	43.6170859	13.5158141	Doppelgänger	Ancona
node	764641422	46.9935302	15.2066548	Gasthaus Gangl	Ligist
node	764747553	52.1400054	21.0592553	Pub Szyszka Chmielu	Warszawa
node	766919283	48.0006547	7.7164454	Das Blümchen	Freiburg im Breisgau
node	768593714	46.3859813	11.2589603	Geier	Kaltern an der Weinstraße - Caldaro sulla Strada del Vino
node	771125324	-26.1946194	27.9989009	Pick n Pay	Brixton
node	773006439	-34.0368667	23.0486451	Pick n Pay	Knysna
node	775241789	-26.1927873	28.0336230	Pick n Pay	Johannesburg
node	776032727	50.0481202	14.4351265	Restaurace Olympia	
node	805895260	47.7960468	3.5712607	Sakado	
node	815830612	48.8731505	2.3255205	Le Greffulhe	Paris
node	822815495	48.1184444	11.5169749	Romina´s	München
node	828790406	53.7678697	10.7680096	Gästehof Apolony	Utecht
node	832842808	49.8977625	15.8646375	Restaurace a penzion U Nováků	Bítovany
node	833352415	49.5274124	14.0739104	Letovský statek	
node	833909042	50.0805155	14.4492276	U Sadu	Praha
node	833965769	-26.1184812	28.1422215	Pick n Pay Hyper	Modderfontein
